Candidato;Partido;Número de Votos;Percentual
JOSÉ WILLIAMS ALMEIDA DOS SANTOS;MDB;11;
LEANDRO JOÃO DA SILVA;PSDB;1;
ADEVAN DE LIMA SILVA;PSDB;4;
ARNALDO DA SILVA LIMA;PSDB;2;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;6;
ALEXSANDRO DE LIMA;PSDB;20;
FABIANA DE OLIVEIRA SILVA;PSDB;1;
JOSÉ CICERO DE OLIVEIRA;PSDB;6;
MICHELLE MARIA DOS SANTOS;PSDB;1;
VOTO BRANCO;branco;5;
VOTO NULO;NULO;14;
MARCOS JOSE HERCULANO DA SILVA;PTB;147;
ADELMO ZEFERINO DE SOUZA JUNIOR;MDB;149;
THOMAS HENRIQUE PEIXOTO LEITE;PSDB;14;
MANOEL LUIS SANTOS DA SILVA;MDB;15;
EGUIMAR FERREIRA DA SILVA;MDB;39;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;3;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;4;
WILLIAM BIZERRA DOS SANTOS;MDB;16;
GIBSON BUARQUE DE MELO;MDB;19;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;7;
SONIA MARIA DA SILVA;MDB;14;
MANOEL ELIAS DE MELO CALHEIROS;MDB;15;
ADEILSON DE ARAUJO VIEIRA;MDB;20;
JOSÉ CARLOS SILVA MONTEIRO;PTB;2;
CLEIDE JANE DOS SANTOS;MDB;3;
ARNALDO BENTO DA SILVA FILHO;PTB;2;
GERALDO DOS SANTOS;PTB;15;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;2;
CLOVIS MARQUES DOS SANTOS;PTB;1;
WELLINGTON DOS SANTOS;PTB;1;
JULIANA MATIAS DOS SANTOS;PTB;1;
INALDO GONÇALVES DA SILVA;PTB;1;
ISAEL RIBEIRO DOS SANTOS;PTB;7;
ADEMIR SAMPAIO DE OLIVEIRA;PTB;1;
LEVI JOSÉ DA SILVA;PTB;4;
DAIANA SILVA DE SOUSA;PTB;10;
PRISCILA FERNANDES GOMES;PTB;8;
EVERALDO FERREIRA DE LIMA;PTB;1;
ARY CLEYTON DE CARVALHO REGO;MDB;18;
MANOEL LUIS SANTOS DA SILVA;MDB;21;
ROSIETE DE ARAUJO SILVA;MDB;1;
EGUIMAR FERREIRA DA SILVA;MDB;18;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;5;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;6;
VOTO NULO;NULO;7;
JOSÉ RENATO DOS SANTOS;MDB;13;
DJALMA DA ROSA CALHEIROS;MDB;14;
JOSÉ WILLIAMS ALMEIDA DOS SANTOS;MDB;7;
LEANDRO JOÃO DA SILVA;PSDB;1;
ADEVAN DE LIMA SILVA;PSDB;3;
ARNALDO DA SILVA LIMA;PSDB;1;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;10;
ALEXSANDRO DE LIMA;PSDB;8;
FABIANA DE OLIVEIRA SILVA;PSDB;2;
